order_id,product_id,warehouse_location,stock_availability,order_qty,timestamp,reorder_level,weights,size
ORD000251,PROD1936,Delhi,306,3,01-01-2024 00:07,36,9.78,Large
ORD000571,PROD4673,Kolkata,4,4,01-01-2024 00:10,122,5.42,Large
ORD006286,PROD4354,Chennai,461,16,01-01-2024 00:14,177,7.51,Medium
ORD007221,PROD2998,Hyderabad,370,18,01-01-2024 00:21,167,8.39,Small
ORD012613,PROD9461,Delhi,442,4,01-01-2024 00:35,87,7.47,Small
ORD014643,PROD1199,Chennai,435,17,01-01-2024 00:47,57,5.82,Small
ORD006644,PROD9664,Kolkata,399,13,01-01-2024 00:47,142,5.29,Small
ORD010237,PROD4372,Mumbai,366,7,01-01-2024 01:01,162,8.55,Large
ORD013001,PROD7988,Bangalore,148,9,01-01-2024 01:18,56,2.85,Medium
ORD002840,PROD2380,Bangalore,141,2,01-01-2024 01:29,57,9.71,Medium
ORD001312,PROD6083,Mumbai,467,13,01-01-2024 01:56,196,7.4,Medium
ORD005919,PROD7159,Hyderabad,56,10,01-01-2024 02:00,115,2.8,Medium
ORD012306,PROD9775,Delhi,295,10,01-01-2024 02:08,120,7.63,Small
ORD013047,PROD5561,Kolkata,284,2,01-01-2024 02:16,89,5.77,Small
ORD002713,PROD5380,Mumbai,349,9,01-01-2024 02:31,53,7.37,Small
ORD009847,PROD8331,Bangalore,138,6,01-01-2024 02:35,130,7.91,Medium
ORD005202,PROD2438,Kolkata,491,3,01-01-2024 02:44,48,1.79,Small
ORD011073,PROD1308,Mumbai,258,9,01-01-2024 02:45,155,5.55,Large
ORD006962,PROD3003,Hyderabad,166,7,01-01-2024 02:47,132,9.39,Small
ORD002611,PROD6134,Hyderabad,304,6,01-01-2024 02:49,76,3.89,Small
ORD014825,PROD5656,Kolkata,176,14,01-01-2024 03:05,24,6.34,Small
ORD009649,PROD3435,Bangalore,355,14,01-01-2024 03:12,32,4.32,Small
ORD003861,PROD9067,Kolkata,48,8,01-01-2024 03:17,166,5.09,Medium
ORD012149,PROD9892,Hyderabad,465,8,01-01-2024 03:32,56,5.94,Medium
ORD009183,PROD3705,Delhi,335,1,01-01-2024 03:35,120,2.82,Small
ORD004755,PROD4924,Hyderabad,161,3,01-01-2024 03:41,22,7.16,Large
ORD011868,PROD1729,Delhi,296,3,01-01-2024 03:45,150,2.25,Medium
ORD009862,PROD3336,Chennai,239,9,01-01-2024 03:54,163,1.02,Small
ORD009585,PROD8279,Bangalore,100,1,01-01-2024 04:01,37,2.05,Small
ORD013207,PROD9146,Mumbai,27,4,01-01-2024 04:06,77,5.26,Medium
ORD010069,PROD7891,Bangalore,444,19,01-01-2024 04:10,167,6.45,Small
ORD012358,PROD1506,Mumbai,38,16,01-01-2024 04:24,55,8.15,Medium
ORD008021,PROD9474,Chennai,161,13,01-01-2024 04:34,40,1.96,Medium
ORD002381,PROD2284,Hyderabad,20,11,01-01-2024 04:41,75,8.66,Small
ORD002099,PROD8575,Chennai,426,5,01-01-2024 04:45,47,7.71,Small
ORD011085,PROD5999,Hyderabad,23,3,01-01-2024 04:53,94,4.68,Large
ORD013921,PROD4156,Chennai,325,7,01-01-2024 04:56,29,9.4,Medium
ORD007312,PROD2763,Bangalore,86,5,01-01-2024 04:58,188,9.92,Large
ORD004243,PROD9918,Delhi,190,15,01-01-2024 05:13,100,4.41,Large
ORD011409,PROD6157,Kolkata,254,11,01-01-2024 05:15,11,9.34,Small
ORD010406,PROD7308,Chennai,353,13,01-01-2024 05:31,155,7.49,Small
ORD010627,PROD9001,Kolkata,375,2,01-01-2024 05:56,46,1.43,Large
ORD006211,PROD4546,Mumbai,343,12,01-01-2024 06:03,111,8.03,Large
ORD004754,PROD7917,Delhi,396,4,01-01-2024 06:16,116,8.45,Large
ORD000469,PROD3881,Bangalore,496,15,01-01-2024 06:35,171,7.75,Large
ORD010118,PROD4784,Mumbai,105,15,01-01-2024 06:35,100,8.2,Large
ORD010088,PROD5333,Mumbai,67,10,01-01-2024 06:46,160,8.43,Small
ORD006921,PROD3456,Mumbai,452,13,01-01-2024 06:58,194,2.68,Large
ORD014484,PROD4392,Kolkata,265,8,01-01-2024 06:58,38,3.12,Small
ORD010750,PROD8271,Hyderabad,38,17,01-01-2024 06:59,78,6.7,Small
ORD001099,PROD4394,Hyderabad,481,6,01-01-2024 07:01,158,9.17,Small
ORD006871,PROD7997,Kolkata,83,7,01-01-2024 07:07,69,3.85,Medium
ORD011593,PROD9736,Hyderabad,41,16,01-01-2024 07:18,13,6.29,Medium
ORD006747,PROD5960,Hyderabad,259,9,01-01-2024 07:28,31,7.15,Small
ORD013721,PROD7436,Bangalore,104,16,01-01-2024 07:38,163,5.07,Large
ORD007866,PROD1260,Kolkata,489,18,01-01-2024 07:40,101,7.42,Small
ORD009647,PROD2251,Hyderabad,45,3,01-01-2024 07:53,32,9.1,Medium
ORD006613,PROD4217,Hyderabad,412,15,01-01-2024 07:53,131,6.62,Small
ORD006561,PROD1211,Bangalore,172,2,01-01-2024 08:18,137,5.86,Large
ORD007474,PROD8968,Delhi,162,14,01-01-2024 08:23,55,4.95,Small
ORD005451,PROD2932,Kolkata,373,11,01-01-2024 08:27,69,6.2,Small
ORD014816,PROD2571,Delhi,0,5,01-01-2024 08:29,98,4.2,Medium
ORD002875,PROD4534,Hyderabad,81,1,01-01-2024 08:48,44,4.52,Medium
ORD007137,PROD5155,Chennai,52,8,01-01-2024 08:51,101,5.79,Small
ORD009269,PROD5098,Hyderabad,406,3,01-01-2024 08:52,61,1.6,Medium
ORD006317,PROD4085,Hyderabad,194,5,01-01-2024 08:54,94,3.06,Large
ORD003630,PROD5076,Chennai,85,1,01-01-2024 09:13,133,5.89,Small
ORD000905,PROD6439,Bangalore,57,7,01-01-2024 09:18,26,4.88,Small
ORD005460,PROD4296,Chennai,124,19,01-01-2024 09:18,98,4.0,Small
ORD007010,PROD2478,Kolkata,38,15,01-01-2024 09:20,82,7.57,Small
ORD006500,PROD4678,Bangalore,400,3,01-01-2024 09:21,184,7.24,Small
ORD009117,PROD6944,Chennai,26,2,01-01-2024 09:43,72,2.5,Medium
ORD008063,PROD6633,Mumbai,399,2,01-01-2024 09:44,37,8.91,Large
ORD002291,PROD1554,Hyderabad,466,19,01-01-2024 09:45,190,5.46,Medium
ORD001214,PROD1474,Delhi,364,4,01-01-2024 09:51,142,7.67,Large
ORD009054,PROD1756,Bangalore,190,14,01-01-2024 10:07,114,6.16,Large
ORD006639,PROD4962,Bangalore,364,4,01-01-2024 10:25,104,9.98,Large
ORD004708,PROD8126,Kolkata,153,17,01-01-2024 10:26,120,7.77,Large
ORD012024,PROD8152,Chennai,475,14,01-01-2024 10:36,22,7.36,Small
ORD006532,PROD8553,Chennai,203,18,01-01-2024 10:44,130,8.01,Small
ORD004392,PROD6641,Chennai,7,17,01-01-2024 10:47,73,2.29,Small
ORD005870,PROD1194,Kolkata,388,19,01-01-2024 10:57,130,2.84,Small
ORD002238,PROD8846,Hyderabad,362,4,01-01-2024 10:58,34,7.43,Small
ORD005864,PROD7390,Kolkata,480,12,01-01-2024 11:07,135,5.45,Medium
ORD000982,PROD7248,Hyderabad,255,17,01-01-2024 11:14,65,7.79,Small
ORD004534,PROD5501,Bangalore,152,14,01-01-2024 11:25,127,1.93,Medium
ORD001389,PROD6543,Bangalore,333,11,01-01-2024 11:57,156,5.83,Medium
ORD001346,PROD5500,Chennai,89,17,01-01-2024 12:02,164,5.11,Medium
ORD014238,PROD9064,Mumbai,159,19,01-01-2024 12:04,57,6.44,Small
ORD000611,PROD7882,Kolkata,238,1,01-01-2024 12:25,177,5.52,Large
ORD007055,PROD8837,Hyderabad,344,2,01-01-2024 12:34,150,5.38,Medium
ORD002798,PROD1152,Chennai,233,3,01-01-2024 12:40,193,7.95,Small
ORD005301,PROD9456,Kolkata,263,3,01-01-2024 13:04,53,1.11,Medium
ORD002323,PROD2578,Mumbai,119,14,01-01-2024 13:04,160,6.39,Small
ORD013626,PROD2136,Mumbai,45,7,01-01-2024 13:08,187,6.09,Large
ORD004689,PROD8260,Mumbai,115,19,01-01-2024 13:10,28,7.45,Medium
ORD005447,PROD1025,Delhi,18,6,01-01-2024 13:24,170,8.44,Large
ORD005929,PROD7995,Delhi,324,14,01-01-2024 13:33,102,9.63,Large
ORD008794,PROD7583,Bangalore,224,19,01-01-2024 13:38,112,4.08,Large
ORD014466,PROD9265,Kolkata,422,7,01-01-2024 13:40,186,3.05,Large
ORD008516,PROD2103,Bangalore,366,7,01-01-2024 13:46,133,4.81,Small
ORD006178,PROD3374,Kolkata,37,15,01-01-2024 14:06,147,3.59,Large
ORD003766,PROD3611,Delhi,387,10,01-01-2024 14:07,137,6.53,Medium
ORD007728,PROD4152,Delhi,303,17,01-01-2024 14:09,65,9.78,Small
ORD005365,PROD4323,Hyderabad,174,1,01-01-2024 14:24,44,5.42,Medium
ORD012386,PROD1388,Bangalore,439,8,01-01-2024 14:36,88,7.51,Medium
ORD013658,PROD1324,Chennai,110,18,01-01-2024 14:52,20,8.39,Large
ORD013188,PROD3631,Mumbai,187,8,01-01-2024 14:57,12,7.47,Medium
