order_id,product_id,customer_id,order_history,delivery_preference,locations,returns/refunds
ORD000251,PROD1936,CUST68687,27,Same-Day,Rural,No
ORD000571,PROD4673,CUST44587,14,Same-Day,Urban,No
ORD006286,PROD4354,CUST84048,30,Standard,Suburban,No
ORD007221,PROD2998,CUST23863,1,Standard,Suburban,No
ORD012613,PROD9461,CUST74422,46,Same-Day,Urban,No
ORD014643,PROD1199,CUST21586,13,Same-Day,Rural,No
ORD006644,PROD9664,CUST72914,8,Same-Day,Suburban,No
ORD010237,PROD4372,CUST30109,36,Same-Day,Rural,No
ORD013001,PROD7988,CUST72029,41,Express,Suburban,No
ORD002840,PROD2380,CUST13790,32,Express,Suburban,No
ORD001312,PROD6083,CUST48651,38,Standard,Suburban,No
ORD005919,PROD7159,CUST28706,45,Standard,Rural,No
ORD012306,PROD9775,CUST92447,12,Express,Urban,No
ORD013047,PROD5561,CUST83549,44,Express,Rural,No
ORD002713,PROD5380,CUST20487,42,Standard,Suburban,No
ORD009847,PROD8331,CUST52478,11,Standard,Urban,No
ORD005202,PROD2438,CUST50786,30,Standard,Urban,No
ORD011073,PROD1308,CUST22898,33,Same-Day,Rural,No
ORD006962,PROD3003,CUST69326,19,Express,Urban,Yes
ORD002611,PROD6134,CUST81568,48,Same-Day,Suburban,No
ORD014825,PROD5656,CUST40630,1,Standard,Urban,No
ORD009649,PROD3435,CUST14331,27,Express,Urban,No
ORD003861,PROD9067,CUST98104,11,Standard,Urban,No
ORD012149,PROD9892,CUST30491,8,Standard,Suburban,No
ORD009183,PROD3705,CUST41864,41,Express,Urban,Yes
ORD004755,PROD4924,CUST53330,1,Same-Day,Urban,No
ORD011868,PROD1729,CUST96479,19,Standard,Suburban,No
ORD009862,PROD3336,CUST10689,33,Express,Urban,No
ORD009585,PROD8279,CUST41513,46,Standard,Suburban,No
ORD013207,PROD9146,CUST44673,35,Standard,Rural,Yes
ORD010069,PROD7891,CUST94366,31,Express,Suburban,No
ORD012358,PROD1506,CUST16470,14,Same-Day,Rural,No
ORD008021,PROD9474,CUST25588,9,Express,Urban,No
ORD002381,PROD2284,CUST82370,4,Same-Day,Rural,No
ORD002099,PROD8575,CUST91082,23,Standard,Suburban,No
ORD011085,PROD5999,CUST94449,29,Express,Suburban,No
ORD013921,PROD4156,CUST40135,42,Same-Day,Suburban,No
ORD007312,PROD2763,CUST55710,11,Express,Suburban,No
ORD004243,PROD9918,CUST44360,34,Standard,Suburban,No
ORD011409,PROD6157,CUST56925,38,Standard,Urban,No
ORD010406,PROD7308,CUST53885,39,Standard,Rural,No
ORD010627,PROD9001,CUST54527,14,Same-Day,Suburban,No
ORD006211,PROD4546,CUST76523,18,Express,Rural,No
ORD004754,PROD7917,CUST22253,45,Same-Day,Rural,Yes
ORD000469,PROD3881,CUST92021,9,Standard,Suburban,No
ORD010118,PROD4784,CUST56834,18,Standard,Rural,No
ORD010088,PROD5333,CUST23730,46,Express,Suburban,No
ORD006921,PROD3456,CUST22185,49,Express,Rural,No
ORD014484,PROD4392,CUST37640,25,Express,Rural,No
ORD010750,PROD8271,CUST99915,4,Express,Rural,No
ORD001099,PROD4394,CUST78454,11,Same-Day,Urban,No
ORD006871,PROD7997,CUST49080,37,Express,Rural,No
ORD011593,PROD9736,CUST13626,27,Standard,Urban,No
ORD006747,PROD5960,CUST31382,7,Standard,Suburban,No
ORD013721,PROD7436,CUST17232,31,Same-Day,Rural,No
ORD007866,PROD1260,CUST41575,33,Express,Suburban,No
ORD009647,PROD2251,CUST99494,37,Standard,Urban,Yes
ORD006613,PROD4217,CUST55476,27,Same-Day,Rural,No
ORD006561,PROD1211,CUST37073,39,Express,Urban,Yes
ORD007474,PROD8968,CUST89127,44,Standard,Rural,No
ORD005451,PROD2932,CUST51386,17,Standard,Suburban,No
ORD014816,PROD2571,CUST57675,42,Express,Rural,No
ORD002875,PROD4534,CUST36991,17,Same-Day,Urban,No
ORD007137,PROD5155,CUST27490,1,Express,Rural,No
ORD009269,PROD5098,CUST26880,38,Standard,Urban,No
ORD006317,PROD4085,CUST70817,4,Same-Day,Suburban,No
ORD003630,PROD5076,CUST92195,28,Same-Day,Rural,No
ORD000905,PROD6439,CUST53488,16,Standard,Urban,No
ORD005460,PROD4296,CUST91248,9,Same-Day,Suburban,No
ORD007010,PROD2478,CUST33097,46,Express,Rural,No
ORD006500,PROD4678,CUST34307,49,Standard,Urban,No
ORD009117,PROD6944,CUST78418,27,Express,Urban,No
ORD008063,PROD6633,CUST49702,24,Standard,Urban,No
ORD002291,PROD1554,CUST50486,24,Express,Urban,No
ORD001214,PROD1474,CUST25521,41,Express,Suburban,No
ORD009054,PROD1756,CUST29533,11,Same-Day,Suburban,No
ORD006639,PROD4962,CUST11848,27,Same-Day,Suburban,No
ORD004708,PROD8126,CUST52287,2,Same-Day,Suburban,No
ORD012024,PROD8152,CUST69321,21,Standard,Urban,No
ORD006532,PROD8553,CUST37059,16,Standard,Rural,No
