order_id,product_id,product_category,seasonality_factor,day_of_week,holiday_event(yes/no),discount(%)
ORD000251,PROD1936,Furniture,Festival,Monday,Yes,28
ORD000571,PROD4673,Clothing,Off-Peak,Monday,No,18
ORD006286,PROD4354,Clothing,Peak,Monday,Yes,16
ORD007221,PROD2998,Groceries,Peak,Monday,No,45
ORD012613,PROD9461,Groceries,Festival,Monday,No,46
ORD014643,PROD1199,Clothing,Off-Peak,Monday,No,22
ORD006644,PROD9664,Groceries,Festival,Monday,No,5
ORD010237,PROD4372,Furniture,Off-Peak,Monday,No,24
ORD013001,PROD7988,Pharmaceuticals,Off-Peak,Monday,Yes,23
ORD002840,PROD2380,Electronics,Normal,Monday,No,17
ORD001312,PROD6083,Furniture,Peak,Monday,No,36
ORD005919,PROD7159,Clothing,Off-Peak,Monday,No,17
ORD012306,PROD9775,Clothing,Festival,Monday,No,6
ORD013047,PROD5561,Groceries,Off-Peak,Monday,No,37
ORD002713,PROD5380,Clothing,Festival,Monday,No,48
ORD009847,PROD8331,Furniture,Peak,Monday,No,14
ORD005202,PROD2438,Electronics,Off-Peak,Monday,No,5
ORD011073,PROD1308,Clothing,Off-Peak,Monday,No,0
ORD006962,PROD3003,Groceries,Normal,Monday,No,36
ORD002611,PROD6134,Electronics,Festival,Monday,Yes,25
ORD014825,PROD5656,Furniture,Off-Peak,Monday,No,15
ORD009649,PROD3435,Clothing,Off-Peak,Monday,No,24
ORD003861,PROD9067,Groceries,Festival,Monday,No,48
ORD012149,PROD9892,Pharmaceuticals,Peak,Monday,No,37
ORD009183,PROD3705,Electronics,Festival,Monday,Yes,44
ORD004755,PROD4924,Clothing,Festival,Monday,Yes,33
ORD011868,PROD1729,Pharmaceuticals,Normal,Monday,No,48
ORD009862,PROD3336,Groceries,Off-Peak,Monday,Yes,35
ORD009585,PROD8279,Groceries,Peak,Monday,No,16
ORD013207,PROD9146,Groceries,Peak,Monday,No,27
ORD010069,PROD7891,Groceries,Festival,Monday,No,0
ORD012358,PROD1506,Pharmaceuticals,Normal,Monday,No,25
ORD008021,PROD9474,Electronics,Peak,Monday,No,35
ORD002381,PROD2284,Pharmaceuticals,Normal,Monday,Yes,10
ORD002099,PROD8575,Furniture,Off-Peak,Monday,Yes,2
ORD011085,PROD5999,Pharmaceuticals,Festival,Monday,Yes,31
ORD013921,PROD4156,Pharmaceuticals,Off-Peak,Monday,No,24
ORD007312,PROD2763,Furniture,Normal,Monday,Yes,2
ORD004243,PROD9918,Groceries,Peak,Monday,No,38
ORD011409,PROD6157,Groceries,Peak,Monday,Yes,44
ORD010406,PROD7308,Electronics,Festival,Monday,Yes,48
ORD010627,PROD9001,Pharmaceuticals,Off-Peak,Monday,No,36
ORD006211,PROD4546,Furniture,Peak,Monday,No,44
ORD004754,PROD7917,Furniture,Peak,Monday,Yes,49
ORD000469,PROD3881,Electronics,Normal,Monday,No,8
ORD010118,PROD4784,Groceries,Peak,Monday,No,3
