order_id,product_id,weather_condition,temperature,traffic_level,fuel_price_index,economic_conditions
ORD000251,PROD1936,Cloudy,22,High,116.28,Stable
ORD000571,PROD4673,Sunny,15,Low,100.66,Inflation
ORD006286,PROD4354,Rainy,13,Moderate,98.81,Inflation
ORD007221,PROD2998,Rainy,29,Low,116.53,Inflation
ORD012613,PROD9461,Cloudy,11,Moderate,113.39,Inflation
ORD014643,PROD1199,Cloudy,11,Moderate,93.45,Inflation
ORD006644,PROD9664,Cloudy,12,Severe,94.99,Recession
ORD010237,PROD4372,Cloudy,23,Low,91.72,Recession
ORD013001,PROD7988,Rainy,12,Low,104.0,Recession
ORD002840,PROD2380,Stormy,30,High,90.63,Stable
ORD001312,PROD6083,Cloudy,21,Moderate,98.17,Stable
ORD005919,PROD7159,Sunny,38,Low,91.24,Inflation
ORD012306,PROD9775,Sunny,17,High,109.67,Inflation
ORD013047,PROD5561,Rainy,25,Moderate,110.78,Recession
ORD002713,PROD5380,Rainy,11,High,102.01,Inflation
ORD009847,PROD8331,Rainy,30,High,114.57,Recession
ORD005202,PROD2438,Rainy,10,High,109.15,Recession
ORD011073,PROD1308,Stormy,11,Low,111.79,Stable
ORD006962,PROD3003,Cloudy,20,Low,116.26,Recession
ORD002611,PROD6134,Rainy,32,Moderate,115.1,Recession
ORD014825,PROD5656,Stormy,15,Moderate,113.55,Recession
ORD009649,PROD3435,Stormy,11,Moderate,93.84,Recession
ORD003861,PROD9067,Rainy,31,Moderate,117.88,Inflation
ORD012149,PROD9892,Stormy,14,Low,104.94,Inflation
ORD009183,PROD3705,Rainy,11,Moderate,103.31,Stable
ORD004755,PROD4924,Rainy,34,High,104.98,Stable
ORD011868,PROD1729,Cloudy,31,Moderate,111.33,Recession
ORD009862,PROD3336,Sunny,28,High,113.37,Recession
ORD009585,PROD8279,Cloudy,23,Severe,90.13,Inflation
ORD013207,PROD9146,Cloudy,23,Low,92.02,Stable
ORD010069,PROD7891,Stormy,33,High,109.71,Recession
ORD012358,PROD1506,Stormy,33,Moderate,97.44,Inflation
ORD008021,PROD9474,Sunny,13,High,104.31,Stable
ORD002381,PROD2284,Cloudy,37,High,96.68,Recession
ORD002099,PROD8575,Stormy,32,Moderate,114.5,Inflation
ORD011085,PROD5999,Cloudy,21,Severe,104.96,Stable
ORD013921,PROD4156,Cloudy,14,Severe,107.15,Stable
ORD007312,PROD2763,Cloudy,10,Low,112.12,Stable
ORD004243,PROD9918,Sunny,15,High,110.13,Inflation
ORD011409,PROD6157,Sunny,23,High,90.15,Recession
ORD010406,PROD7308,Rainy,25,Moderate,111.19,Recession
ORD010627,PROD9001,Sunny,23,Low,100.9,Recession
ORD006211,PROD4546,Cloudy,37,Severe,100.95,Inflation
ORD004754,PROD7917,Stormy,10,Severe,101.76,Inflation
ORD000469,PROD3881,Cloudy,37,Moderate,95.36,Stable
ORD010118,PROD4784,Stormy,29,Severe,105.37,Stable
ORD010088,PROD5333,Rainy,29,High,110.62,Recession
ORD006921,PROD3456,Sunny,12,Severe,100.18,Stable
ORD014484,PROD4392,Sunny,38,Severe,95.41,Recession
ORD010750,PROD8271,Rainy,24,Low,114.1,Stable
ORD001099,PROD4394,Sunny,26,Moderate,119.57,Inflation
ORD006871,PROD7997,Cloudy,32,Low,101.63,Inflation
