order_id,product_id,warehouse_location,stock_availability,order_qty,timestamp,reorder_level,weights,size,product_category,seasonality_factor,day_of_week,holiday_event(yes/no),discount(%),customer_id,order_history,delivery_preference,locations,returns/refunds,weather_condition,temperature,traffic_level,fuel_price_index,economic_conditions,warehouse_id,warehouse_size
ORD000251,PROD1936,Delhi,306,3,01-01-2024 00:07,36,9.78,Large,Furniture,Festival,Monday,Yes,28,CUST68687,27,Same-Day,Rural,No,Cloudy,22,High,116.28,Stable,WAR0006,1500
ORD000571,PROD4673,Kolkata,4,4,01-01-2024 00:10,122,5.42,Large,Clothing,Off-Peak,Monday,No,18,CUST44587,14,Same-Day,Urban,No,Sunny,15,Low,100.66,Inflation,WAR0012,1500
ORD006286,PROD4354,Chennai,461,16,01-01-2024 00:14,177,7.51,Medium,Clothing,Peak,Monday,Yes,16,CUST84048,30,Standard,Suburban,No,Rainy,13,Moderate,98.81,Inflation,WAR0011,1500
ORD007221,PROD2998,Hyderabad,370,18,01-01-2024 00:21,167,8.39,Small,Groceries,Peak,Monday,No,45,CUST23863,1,Standard,Suburban,No,Rainy,29,Low,116.53,Inflation,WAR0004,1500
ORD012613,PROD9461,Delhi,442,4,01-01-2024 00:35,87,7.47,Small,Groceries,Festival,Monday,No,46,CUST74422,46,Same-Day,Urban,No,Cloudy,11,Moderate,113.39,Inflation,WAR0008,1500
ORD014643,PROD1199,Chennai,435,17,01-01-2024 00:47,57,5.82,Small,Clothing,Off-Peak,Monday,No,22,CUST21586,13,Same-Day,Rural,No,Cloudy,11,Moderate,93.45,Inflation,WAR0001,1500
ORD006644,PROD9664,Kolkata,399,13,01-01-2024 00:47,142,5.29,Small,Groceries,Festival,Monday,No,5,CUST72914,8,Same-Day,Suburban,No,Cloudy,12,Severe,94.99,Recession,WAR0010,1500
ORD010237,PROD4372,Mumbai,366,7,01-01-2024 01:01,162,8.55,Large,Furniture,Off-Peak,Monday,No,24,CUST30109,36,Same-Day,Rural,No,Cloudy,23,Low,91.72,Recession,WAR0008,1500
ORD013001,PROD7988,Bangalore,148,9,01-01-2024 01:18,56,2.85,Medium,Pharmaceuticals,Off-Peak,Monday,Yes,23,CUST72029,41,Express,Suburban,No,Rainy,12,Low,104.0,Recession,WAR0009,1500
ORD002840,PROD2380,Bangalore,141,2,01-01-2024 01:29,57,9.71,Medium,Electronics,Normal,Monday,No,17,CUST13790,32,Express,Suburban,No,Stormy,30,High,90.63,Stable,WAR0010,1500
